//;Mineral;limit;key;;;;;;;;;;;;
0.000000;0.000000;0.000000;Pressure;;;;;;;;;;;;
0.000000;0.000000;0.000000;Temperature;;;;;;;;;;;;
H;X;Y;Alb;Amf;An;Bi;CPx;Gr;Ol;OPx;Ort;Q;Ksi_crack;Alpha;
;;;Q;An;Bi;CPx;Ol;Amf;OPx;Al;Ort;Gr;;;
2;295.0;50.40.010879856205005657;0,022007812;0,000451398;0,003476892;0,000170089;0,474136996;0,366121341;0,000118868;0,093155486;0,029481262;;;;
4;295.0;50.40.0018214911898619738;0.0007861837872828754;0.0015627262077100338;0.06740502272442077;0.6078540728198926;0.06510750114052229;0.012418738604025148;0.0005644957803525197;0.04508785965386232;0.19739190809206952;;;;Q
6;295.0;50.41.9850585642582716e-05;1.8940394026190808e-07;0.7395621984965626;0.256413016878719;2.016951479597709e-07;0.0033910108921364895;0.00015275938480500536;0.00016896322890192815;0.00013741531899044725;0.0001543941151537724;;;;An
2;293.01;50.380.009216737975567003;0.00249118100205276;0.03732015776126556;0.0007300828243710651;0.844121300886375;0.032404070380182295;0.0036880774373396815;0.0026767073716427153;0.00705429267679501;0.06029739168440886;;;;Bi
4;293.01;50.380.005993091035814319;3.7855126769439844e-05;0.024612747509853754;0.018727520099929208;0.08676677547160881;0.043270120615574434;0.00023495985639189693;0.6567367073074215;0.07106642143955888;0.0925538015370777;;;;CPx
2;291.02;50.363.831659785533275e-05;0.007073261569042852;0.8990796208731296;0.06586075451113582;0.018154164848249124;0.0047447013085650785;0.0012408942884980748;0.0035831965297548;0.00017289561395103316;5.219385981823561e-05;;;;Ol
4;291.02;50.360.0003531170057075025;0.0005643954870688583;0.00035091102177598144;0.8498505467429949;0.0005275505248458323;0.1073277523778697;0.00041755915770275815;0.03924652735024124;0.00130906185847786;5.257847331538668e-05;;;;Amf
2;289.03;50.340.034780524108913816;0.23668003445159572;0.043376687995840865;0.00420547273848112;0.5127574837565234;0.048909626195703604;0.0024609320836277977;0.06068665669609269;0.05407937189392432;0.0020632100792966957;;;;OPx
4;289.03;50.340.02256817533532315;4.9509809330694574e-05;0.00556201259972416;0.0007109939197170668;0.07899088751884788;0.7987747124033115;0.0012637895800921232;0.04562233056936515;0.04369717097962719;0.0027604172846610463;;;;Al
6;289.03;50.340.010611194336489011;0.5741058567593479;0.004130299991323994;0.3146835247370835;0.0319095044345051;0.015867132953140517;0.00445644070933667;0.022389043543447146;0.00283260363658717;0.019014398898739005;;;;Ort
2;287.04;50.320.00010095647311609699;0.6324468770578429;0.21377271508743;0.00010947683875300598;8.373659497411101e-05;0.027339389550556585;0.0012962112788418541;0.0002591074543295848;0.0003595622061401154;0.12423196745801578;;;;Gr
4;287.04;50.320.9213040001715349;0.0004082202211009223;4.743993232875324e-05;0.005576120913487777;0.001321743660871279;0.005075575121422279;0.011644163346186271;0.00012729050858360688;0.0008697989075928584;0.053625647216891344;;;;
6;287.04;50.320.06261118217352116;0.19301617121399506;0.00016140964811965332;0.027694860665158274;0.0076127378990354586;0.006379020069319633;0.7010448275484391;2.354034632605483e-06;0.0014342195524595096;4.3217195319539056e-05;;;;
4;285.05;50.30.0004203600490594706;0.05321269437979795;0.034513684937685404;0.16718398565733406;0.28960184194831223;0.41567453624597855;0.0033442973095963624;0.02437555667779586;0.010967084346472835;0.0007059584479672416;;;;
6;285.05;50.30.001767238472407778;0.03850144144279075;0.04955605679333203;4.286845034738121e-05;0.6911977386285114;0.1631767369406364;0.0001055538547658312;0.0007566446203360822;0.053931478023618536;0.0009642427732538062;;;;
2;283.06;50.280.00013677430645649987;0.03175346948436338;0.02590894015288333;0.05755432996683743;0.00041173546136462526;5.721379497062567e-05;0.00015585662990281777;0.32876409699968834;0.5551877008335974;6.988236993558724e-05;;;;
4;283.06;50.280.5644781767643205;0.025535894480695757;0.040958923535836744;0.004654593057456223;0.17238188994595235;0.07266829574915762;0.0007811254024291189;0.0016117206328070356;0.11046928112182608;0.006460099309518519;;;;
