h;x;y;pressure;temperature;Q;An;Bi;CPx;Ol;Amf;OPx;Alb;Ort;Gr
2;295;50,4;0,0518;28,65;0,000865323;0,002732882;0,191680456;0,003346993;0,706669957;0,007422593;0,000152219;0,085434983;0,001602629;9,20E-05
4;295;50,4;0,1036;53,2;0,001471495;2,00E-05;0,909129736;0,008483529;0,069419328;3,40E-05;0,00047817;0,010954867;4,62E-06;4,24E-06
6;295;50,4;0,1555;93,1;0,627202405;0,002463836;0,020697113;0,336158635;4,25E-05;2,62E-05;0,000185484;0,001541542;0,01158592;9,64E-05
2;293,01;50,38;0,0518;28,65;0,143705599;0,000368736;0,352310255;0,02295746;0,02762965;2,03E-05;0,02443547;0,024663206;1,85E-06;0,403907517
4;293,01;50,38;0,1036;53,2;0,043568032;0,001376635;0,019491235;0,001120103;0,000341273;0,761552585;0,00053511;0,000129228;0,000777517;0,171108283
6;293,01;50,38;0,1555;93,1;0,037068101;9,22E-05;0,325248607;0,000189772;0,128791208;0,000684229;0,000113057;0,000918297;0,491825622;0,015068868
2;291,02;50,36;0,0518;28,65;0,178423293;0,084062097;0,092777098;0,031640217;0,179907507;0,00355621;0,01240446;0,048137015;0,001251428;0,367840676
4;291,02;50,36;0,1036;53,2;0,009809237;0,019225352;2,97E-07;0,001059414;0,003233157;7,98E-05;0,001300972;0,003553421;0,961707633;3,08E-05
6;291,02;50,36;0,1555;93,1;0,17819182;0,140837426;0,000841284;0,081167006;0,000763954;0,008884557;0,000997861;0,353324966;0,026184376;0,20880675
2;289,03;50,34;0,0518;28,65;0,231264451;0,40682681;0,0110309;0,024293133;0,021864231;0,005962671;0,244943047;1,60E-05;0,040204993;0,013593814
4;289,03;50,34;0,1036;53,2;0,134918639;0,013129527;0,000830938;0,376682187;0,37198741;0,064242683;0,003167268;0,002404042;3,23E-05;0,032604964
6;289,03;50,34;0,1555;93,1;0,055994125;0,006654322;0,000399006;0,676209723;0,009681234;0,109990715;0,002001195;0,001014016;0,093662281;0,044393382
2;287,04;50,32;0,0518;28,65;0,002669141;0,000123597;0,00021353;0,001921846;0,891718449;0,044165424;0,044865625;0,00026876;0,002189601;0,011864027
4;287,04;50,32;0,1036;53,2;0,619096028;0,039686686;0,000585047;0,100898297;0,230226023;9,40E-05;0,001281151;0,000121981;0,000587137;0,007423604
6;287,04;50,32;0,1555;93,1;1,28E-05;0,004340496;1,69E-05;0,000181831;4,43E-06;0,000117213;2,24E-05;0,003468114;0,475274095;0,516561769
2;285,05;50,3;0,0518;28,65;0,024151747;0,001019274;0,024085453;0,160477129;1,10E-05;0,78883245;2,90E-06;0,000634011;0,00072859;5,75E-05
4;285,05;50,3;0,1036;53,2;0,572136855;7,16E-07;0,001701202;4,64E-05;0,011438369;1,73E-06;0,410412711;0,004040563;0,000220379;1,07E-06
6;285,05;50,3;0,1555;93,1;2,81E-05;0,020146852;0,000356905;0,905913262;0,01912347;0,002011989;0,00043236;7,58E-05;0,046296429;0,005614797
2;283,06;50,28;0,0518;28,65;2,72E-05;0,001465782;0,00044324;0,73050708;0,035218614;3,46E-05;0,078896699;4,51E-05;0,150050986;0,003310717
4;283,06;50,28;0,1036;53,2;5,20E-05;0,4206348;0,000638022;0,097736979;3,11E-05;0,002037208;0,000363726;0,006742421;0,000211023;0,471552694
6;283,06;50,28;0,1555;93,1;0,000563688;0,000549894;0,004891288;0,002888503;0,024149471;0,000677525;0,020692969;0,06873319;0,14326238;0,733591091
2;281,07;50,26;0,0518;28,65;0,002695215;0,00463122;0,091554884;0,00016615;0,052153499;0,181263227;0,351585763;0,308568333;0,000288938;0,007092771
4;281,07;50,26;0,1036;53,2;2,69E-06;2,62E-05;0,000129115;0,010783135;0,988556333;0,000290476;4,55E-06;1,64E-05;9,79E-05;9,31E-05
6;281,07;50,26;0,1555;93,1;0,014601708;0,139321226;0,08459893;0,080861139;0,005764145;0,216082173;0,00547322;0,003827139;0,421926625;0,027543696
2;279,08;50,24;0,0518;28,65;0,192844629;0,009303085;0,005460997;0,000955798;0,054221415;0,116957756;0,121932622;0,032758706;0,012118313;0,45344668
4;279,08;50,24;0,1036;53,2;0,000300332;4,44E-06;0,005438739;0,729885341;0,140323065;0,123456684;0,000153942;0,000360974;4,88E-05;2,77E-05
6;279,08;50,24;0,1555;93,1;0,184946299;0,002210738;0,257912667;0,000747999;0,004503627;0,011626969;0,459078254;0,005983925;0,050750362;0,022239162
2;277,09;50,22;0,0518;28,65;0,106652618;0,19008215;0,356293574;0,240787118;0,007304711;0,034973634;0,004835506;0,000200933;0,041317756;0,017551999
4;277,09;50,22;0,1036;53,2;0,001704542;0,000380682;0,010241822;0,003561283;0,006423723;0,924641512;8,10E-05;0,005685529;0,000160358;0,047119503
6;277,09;50,22;0,1555;93,1;4,94E-05;7,81E-06;0,022711433;0,00066323;0,001671165;0,000909289;0,925455491;6,55E-05;0,011317481;0,037149273
2;275,1;50,2;0,0518;28,65;1,44E-05;3,54E-05;3,67E-05;2,40E-05;1,04E-06;0,001174676;0,537849497;0,273740077;0,187054061;7,01E-05
4;275,1;50,2;0,1036;53,2;1,55E-05;0,216913085;0,00170023;0,626929722;0,002284796;0,000777452;0,019381719;1,04E-07;0,030569994;0,101427389
6;275,1;50,2;0,1555;93,1;0,000124192;6,69E-05;0,008988765;0,001970696;0,581107332;0,217614542;0,184002319;4,18E-05;0,001760231;0,004323237
2;273,11;50,18;0,0518;28,65;0,001126742;0,00051611;0,919171542;0,000901814;0,001978379;0,000963157;0,012957149;0,000390297;0,054031685;0,007963126
4;273,11;50,18;0,1036;53,2;0,063321045;3,20E-05;1,75E-05;0,060380006;0,00024159;0,490255741;0,001898505;0,338455475;0,009754337;0,035643742
6;273,11;50,18;0,1555;93,1;1,22E-07;0,003623558;0,0001023;6,88E-07;3,41E-06;8,98E-05;3,70E-08;0,996157163;2,27E-05;2,47E-07
2;271,12;50,16;0,0518;28,65;0,000445068;3,99E-06;0,580815281;0,38141429;0,00221787;2,34E-05;0,000253817;3,35E-05;0,033709106;0,001083661
4;271,12;50,16;0,1036;53,2;0,181558673;0,004641636;5,49E-06;0,000397275;0,074387828;0,006106569;0,000265968;0,002529725;0,728576059;0,001530775
6;271,12;50,16;0,1555;93,1;0,009768761;0,011180794;0,015810865;0,930943875;0,002695091;0,013884395;0,012878211;0,000221665;0,000623511;0,001992832
2;269,13;50,14;0,0518;28,65;0,03301947;0,291822653;0,006916019;0,054030178;0,000129607;0,000935222;0,049910828;7,60E-06;0,081944713;0,481283715
4;269,13;50,14;0,1036;53,2;0,767651573;0,022185956;0,094312853;0,016992968;0,002134;0,000288382;0,084615126;0,00436675;0,000674872;0,006777521
6;269,13;50,14;0,1555;93,1;0,665663363;0,001532317;0,012482221;0,005191863;0,003664353;0,283005926;0,006401002;0,004736977;0,010362637;0,00695934
