h;x;y;Vp;Vpcalc;Vscalc;Ro
1;107;143;6,15;3,465056823;1,998176139;2,679053848
2;107;143;6,29;3,16371432;1,695051123;2,969903324
3;107;143;6,38;5,642732892;3,213695392;3,098322936
4;107;143;6,47;5,693050194;2,963789876;2,864974362
5;107;143;6,58;15,28835815;7,712406144;3,253002562
6;107;143;6,64;4,246847983;2,340008705;2,699987433
7;107;143;6,72;4,922744907;2,806940004;3,094448559
1;107,37;141,03;6,15;7,207489987;4,08125691;3,194196482
2;107,37;141,03;6,29;3,557146641;1,927920737;3,024394484
3;107,37;141,03;6,38;4,350785613;2,425291761;2,99535287
4;107,37;141,03;6,47;4,43891597;2,500237611;3,083109684
5;107,37;141,03;6,58;14,32250697;7,548306983;3,168455331
6;107,37;141,03;6,64;5,772305371;3,462862;3,471413123
7;107,37;141,03;6,72;5,808175891;3,258791988;2,933187399
1;107,73;139,07;6,15;3,966852609;2,581989377;2,702470427
2;107,73;139,07;6,29;5,579512465;3,178585874;2,992766764
3;107,73;139,07;6,38;4,799715644;2,806297031;3,231652192
5;107,73;139,07;6,58;7,785217122;5,16855222;2,837573687
6;107,73;139,07;6,64;4,691964911;2,792320956;2,991579178
7;107,73;139,07;6,72;4,169533877;2,857501834;2,799082851
1;108,1;137,1;6,15;5,818505324;3,373950385;3,235755185
2;108,1;137,1;6,29;5,143387624;2,898129504;3,070350408
3;108,1;137,1;6,38;3,038815574;1,776266344;2,645575599
5;108,1;137,1;6,58;5,899758806;3,571765819;2,984362804
6;108,1;137,1;6,64;9,16641301;4,963555956;2,938170436
7;108,1;137,1;6,72;6,072777053;3,393704599;3,083500235
1;108,47;135,13;6,15;2,792655316;1,481796119;2,605825114
2;108,47;135,13;6,29;5,481587026;3,063107147;2,998770194
4;108,47;135,13;6,47;5,326267089;3,200481219;3,440114147
5;108,47;135,13;6,58;5,7310432;3,436562729;3,462270632
7;108,47;135,13;6,72;6,613767363;3,525976142;2,695566494
