h;x;y;Velosity_etalon;efVp;ef_Vs;ro
2;295;50,4;6,08;7,581994178;4,278667697;3,134637304
4;295;50,4;6,17;5,77012827;3,015139394;2,93481922
6;295;50,4;6,24;6,679044486;4,282337408;2,873963646
2;293,01;50,38;6,08;6,885346367;3,946065732;3,384817568
4;293,01;50,38;6,17;7,319590139;4,156510874;3,206307709
6;293,01;50,38;6,24;6,249183389;3,427797163;2,790201394
2;291,02;50,36;6,09;7,429307916;4,345059746;3,362919782
4;291,02;50,36;6,18;6,279556483;3,455064535;2,561211759
6;291,02;50,36;6,25;6,839087986;4,003596747;2,995694481
2;289,03;50,34;6,09;6,952835445;4,099757824;2,977922816
4;289,03;50,34;6,18;7,750287126;4,554547721;3,196680485
6;289,03;50,34;6,25;7,525666779;4,348375758;3,184307972
2;287,04;50,32;6,09;8,318130637;4,76854665;3,280294841
4;287,04;50,32;6,18;6,8517658;4,385451411;2,87768568
6;287,04;50,32;6,25;7,281893024;4,093244989;3,359970216
2;285,05;50,3;6,09;7,252288816;4,106776913;3,066260929
4;285,05;50,3;6,19;6,715873391;4,328299996;3,043739033
6;285,05;50,3;6,26;7,773717623;4,461275392;3,240158759
2;283,06;50,28;6,09;7,575856874;4,350020321;3,195760498
4;283,06;50,28;6,19;7,811711844;4,346447914;3,454707008
6;283,06;50,28;6,26;7,95381687;4,505281002;3,740408086
2;281,07;50,26;6,09;6,881946859;3,945772065;3,086207236
4;281,07;50,26;6,19;8,417322039;4,815432435;3,270106958
6;281,07;50,26;6,26;6,673823131;3,694564529;2,832687666
2;279,08;50,24;6,09;7,579372359;4,492290388;3,506488675
4;279,08;50,24;6,19;7,839549115;4,494973537;3,2475259
6;279,08;50,24;6,26;6,606969447;3,905591969;3,181420228
2;277,09;50,22;6,09;6,552237677;3,670788802;2,960963198
4;277,09;50,22;6,19;7,262488534;4,08064922;3,090279225
6;277,09;50,22;6,26;7,460123836;4,426459299;3,570810808
2;275,1;50,2;6,09;6,87300949;3,988632081;3,106999844
4;275,1;50,2;6,19;7,685332463;4,354225183;3,237946076
6;275,1;50,2;6,26;7,921035899;4,545527514;3,27551507
