h;x;y;Vpinput;Vpoutput;Vs;Ro;Q;An;Bi;CPx;Ol;Amf;OPx;Alb;Ort;Gr;Sio2;tiO2;al2O3;fe2O3;feO;mnO;mgO;caO;na2O;k2O;h2O
6;293,01;50,38;6,24;6,249183389;3,427797163;2,790201394;0,037068101;9,22E-05;0,325248607;0,000189772;0,128791208;0,000684229;0,000113057;0,000918297;0,491825622;0,015068868;52,77302559;0,918511201;15,08115368;1,765299041;7,580155048;0,179149314;9,090147009;0,811053612;1,644133235;62,82929369;0,8685865
4;291,02;50,36;6,18;6,279556483;3,455064535;2,561211759;0,009809237;0,019225352;2,97E-07;0,001059414;0,003233157;7,98E-05;0,001300972;0,003553421;0,961707633;3,08E-05;63,97186133;0,011937281;19,35425774;0,252712404;0,182883648;0,005956338;0,247367199;0,894035231;2,947178615;117,6202563;0,332575362
6;273,11;50,18;6,27;6,270775731;3,539961765;2,558123625;1,22E-07;0,003623558;0,0001023;6,88E-07;3,41E-06;8,98E-05;3,70E-08;0,996157163;2,27E-05;2,47E-07;67,38207633;0,005462035;20,0969397;0,237277047;0,002850281;0,044882128;0,171829816;0,533707028;11,03215363;0,432254829;0,372052619
4;271,12;50,16;6,18;6,349806912;3,665451135;2,631024647;0,181558673;0,004641636;5,49E-06;0,000397275;0,074387828;0,006106569;0,000265968;0,002529725;0,728576059;0,001530775;68,53847827;0,0207724;14,41875959;0,287272613;1,306094551;0,042692089;3,379915246;0,588760028;2,241780883;89,11344495;0,277433254
4;269,13;50,14;6,17;6,293105484;4,117146984;2,783422931;0,767651573;0,022185956;0,094312853;0,016992968;0,002134;0,000288382;0,084615126;0,00436675;0,000674872;0,006777521;86,86165644;0,291205691;2,697777994;0,775471585;4,339116195;0,088485051;2,611219557;1,0252948;0,131095435;0,874390684;0,239763833
4;265,15;50,1;6,15;6,26603522;4,264874553;2,661257401;0,996400922;7,33E-07;5,13E-08;5,21E-08;0,000111354;3,00E-05;0,002645162;4,44E-08;2,66E-06;0,00080898;99,8065396;0,000929982;0,01969952;0,012126462;0,098545417;0,003067924;0,048844563;0,01061587;0,000698972;0,000767293;0,001108837
4;263,16;50,08;6,14;6,251155836;3,481752968;2,622485212;0,031501789;0,00371006;0,086304369;6,22E-05;7,79E-05;0,064940509;0,001990451;0,324327071;0,48690238;0,000183252;62,60232447;0,323527047;18,11189951;0,851260336;2,247770721;0,058923305;1,631494431;1,265458299;5,195067511;60,43978121;0,650195825
6;263,16;50,08;6,23;6,334563613;3,506161578;2,644744249;0,000184411;0,010272372;0,000353303;0,000359642;0,000448313;0,000182133;0,081940545;0,04382333;0,85969201;0,002743941;62,71703873;0,031800839;18,05245332;0,504342517;2,5520937;0,052247655;1,376196707;0,781041203;3,095330183;105,1730077;0,335133007
6;257,19;50,02;6,2;6,289702814;4,253641334;2,680688517;0,967007261;2,72E-05;1,48E-05;0,001879675;0,021510339;0,009105594;5,98E-05;1,83E-05;2,44E-05;0,000352625;98,07898119;0,013147066;0,113635246;0,064535276;0,458385333;0,014130696;1,052376104;0,148695198;0,01780769;0,010303634;0,030354684
8;255,2;50;6,26;6,285078124;3,567574487;2,586470196;0,029370857;0,02121006;0,004184479;0,014274823;0,000148354;0,000583877;0,008919643;0,914644356;0,006202224;0,000461326;67,34738206;0,02545618;19,32848651;0,31042162;0,480010001;0,052817393;0,526661229;1,151094027;10,17198787;1,191229427;0,367095915
